epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2263.61,1.30781,1.27745,1.47779,0.64598,0.69294,0.7065,0.36095,1.5843,1.31683,1.66343,0.0004159,0.0004159,0.0004159
61,2294.99,1.32946,1.29715,1.50142,0.68623,0.65542,0.70925,0.35836,1.63159,1.34105,1.69622,0.000406,0.000406,0.000406
62,2327.03,1.29717,1.26132,1.47871,0.70508,0.64544,0.7102,0.36208,1.54826,1.31516,1.67533,0.0003961,0.0003961,0.0003961
63,2358.74,1.30977,1.26755,1.49505,0.65828,0.67077,0.69728,0.36562,1.58267,1.3238,1.6713,0.0003862,0.0003862,0.0003862
64,2391.4,1.31424,1.28337,1.4936,0.70432,0.70155,0.72487,0.36932,1.60268,1.30424,1.68614,0.0003763,0.0003763,0.0003763
65,2422.85,1.30756,1.28235,1.48245,0.67858,0.69905,0.73599,0.38144,1.56988,1.29666,1.66905,0.0003664,0.0003664,0.0003664
66,2453.53,1.28763,1.23172,1.46493,0.70534,0.67717,0.73053,0.36707,1.59692,1.30189,1.67229,0.0003565,0.0003565,0.0003565
67,2484.26,1.30085,1.25398,1.47707,0.67717,0.70953,0.74,0.37106,1.57422,1.27029,1.63662,0.0003466,0.0003466,0.0003466
68,2515.48,1.28876,1.23767,1.47489,0.65421,0.72586,0.7316,0.36961,1.58659,1.27225,1.64899,0.0003367,0.0003367,0.0003367
69,2546.47,1.26436,1.22072,1.44759,0.6711,0.71791,0.74014,0.38988,1.53663,1.25141,1.64,0.0003268,0.0003268,0.0003268
70,2577.91,1.26988,1.20265,1.45992,0.67128,0.67105,0.70623,0.36962,1.56912,1.32592,1.67274,0.0003169,0.0003169,0.0003169
71,2609.39,1.27574,1.22317,1.46414,0.70117,0.68334,0.72442,0.37062,1.57092,1.26352,1.66494,0.000307,0.000307,0.000307
72,2640.73,1.26154,1.19292,1.45247,0.70793,0.69973,0.73945,0.37367,1.62164,1.29475,1.70698,0.0002971,0.0002971,0.0002971
73,2672.45,1.29408,1.22533,1.47397,0.6871,0.69695,0.72482,0.38094,1.54184,1.27744,1.63641,0.0002872,0.0002872,0.0002872
74,2704.07,1.28927,1.21187,1.47211,0.67044,0.69717,0.71805,0.37448,1.57711,1.25951,1.67815,0.0002773,0.0002773,0.0002773
75,2735.61,1.26143,1.20185,1.46271,0.71467,0.6639,0.72224,0.38282,1.55614,1.29397,1.66388,0.0002674,0.0002674,0.0002674
76,2766.95,1.26387,1.20511,1.45107,0.71128,0.69691,0.73765,0.38233,1.5863,1.23904,1.65143,0.0002575,0.0002575,0.0002575
77,2798.18,1.26527,1.19768,1.45837,0.68603,0.70303,0.73,0.3785,1.5935,1.27651,1.69701,0.0002476,0.0002476,0.0002476
78,2829.41,1.24795,1.20514,1.44362,0.68014,0.68111,0.72764,0.38497,1.55376,1.29169,1.66702,0.0002377,0.0002377,0.0002377
79,2860.46,1.24581,1.17609,1.44332,0.68261,0.70964,0.73941,0.39198,1.54864,1.23897,1.64142,0.0002278,0.0002278,0.0002278
80,2891.72,1.2429,1.16529,1.43479,0.74527,0.6974,0.75496,0.38936,1.57355,1.24395,1.6638,0.0002179,0.0002179,0.0002179
81,2923.07,1.24351,1.17995,1.44664,0.7299,0.70098,0.74164,0.39587,1.54773,1.23652,1.65209,0.000208,0.000208,0.000208
82,2954.56,1.22814,1.16127,1.43212,0.70514,0.70169,0.75707,0.39642,1.56992,1.24791,1.6554,0.0001981,0.0001981,0.0001981
83,2985.96,1.25042,1.15938,1.44484,0.72444,0.67709,0.75419,0.39932,1.54421,1.22497,1.62891,0.0001882,0.0001882,0.0001882
84,3017.41,1.2367,1.17206,1.44288,0.68256,0.71139,0.73637,0.39382,1.56072,1.25656,1.63979,0.0001783,0.0001783,0.0001783
85,3049.09,1.236,1.16399,1.43592,0.70473,0.72587,0.74708,0.39131,1.57477,1.22122,1.66352,0.0001684,0.0001684,0.0001684
86,3080.89,1.23736,1.13576,1.42933,0.73027,0.71471,0.7469,0.40008,1.55266,1.21686,1.64985,0.0001585,0.0001585,0.0001585
87,3112.42,1.22828,1.1441,1.43057,0.76359,0.67362,0.74185,0.38659,1.57086,1.24206,1.64307,0.0001486,0.0001486,0.0001486
88,3144.25,1.22013,1.15894,1.4312,0.77266,0.68597,0.75795,0.40132,1.53383,1.22151,1.63898,0.0001387,0.0001387,0.0001387
89,3175.1,1.22075,1.16258,1.42966,0.728,0.69269,0.75292,0.40491,1.52974,1.20605,1.62593,0.0001288,0.0001288,0.0001288
90,3205.72,1.21693,1.13229,1.41898,0.72095,0.6845,0.7492,0.40333,1.521,1.20845,1.62965,0.0001189,0.0001189,0.0001189
91,3292.92,1.24001,1.09214,1.47534,0.72382,0.67901,0.7245,0.3898,1.55172,1.24501,1.64308,0.000109,0.000109,0.000109
92,3323.43,1.22709,1.06293,1.46823,0.7322,0.69953,0.74524,0.39475,1.54608,1.21142,1.64544,9.91e-05,9.91e-05,9.91e-05
93,3353.94,1.20295,1.03145,1.45539,0.74718,0.67723,0.74988,0.39753,1.53324,1.20627,1.65383,8.92e-05,8.92e-05,8.92e-05
94,3384.14,1.20555,1.01835,1.46732,0.7754,0.67986,0.75192,0.40594,1.51026,1.18425,1.62366,7.93e-05,7.93e-05,7.93e-05
95,3415.23,1.19992,1.02419,1.44993,0.75748,0.68486,0.75178,0.40368,1.54495,1.20178,1.64099,6.94e-05,6.94e-05,6.94e-05
96,3445.85,1.17974,1.0203,1.43413,0.74706,0.71543,0.75774,0.40318,1.52696,1.18443,1.64038,5.95e-05,5.95e-05,5.95e-05
97,3476.3,1.17662,1.02183,1.44208,0.76634,0.69119,0.76074,0.4077,1.529,1.19738,1.64245,4.96e-05,4.96e-05,4.96e-05
98,3506.64,1.16759,1.00056,1.42454,0.79997,0.67709,0.76416,0.41107,1.52318,1.17866,1.63208,3.97e-05,3.97e-05,3.97e-05
99,3536.5,1.15704,0.97517,1.42737,0.78988,0.67959,0.75096,0.40459,1.53914,1.19241,1.64461,2.98e-05,2.98e-05,2.98e-05
100,3566.44,1.16073,0.99403,1.43731,0.77966,0.67319,0.75623,0.40693,1.52506,1.18058,1.63652,1.99e-05,1.99e-05,1.99e-05
